Feature_Names,Compartment,Type,Specific,Definition,Map_Method,Structure_Specificity
Average luminal object solidity,Lumen,Morphological,Average Solidity,Average ratio between luminal object area and luminal object convex area.,Similarity Map,Non_Structure_Specific
Average PAS+ region contained in luminal object boundaries,PAS+_Lumen,Containment,Average PAS+ in Lumen,Average number of PAS+ pixels surrounded by luminal objects.,Object Specific Map,Non_Structure_Specific
Average nuclear region contained in luminal object boundaries,Lumen_Nuclei,Containment,Average Nuclei in Lumen,Average number of nuclear pixels surrounded by luminal objects.,Object Specific Map,Non_Structure_Specific
Sum total luminal objects' areas,Lumen,Morphological,Sum Areas,Sum of all object areas in luminal compartment,Object Specific Map,Non_Structure_Specific
Mean of luminal objects' areas,Lumen,Morphological,Mean Areas,Mean area of luminal objects,Similarity Map,Non_Structure_Specific
Median of luminal objects' areas,Lumen,Morphological,Median Areas,Median area of luminal objects,Similarity Map,Non_Structure_Specific
Luminal textural contrast,Lumen,Texture,Contrast,Measures the local variations in the GLCM.  Higher in regions of sharp intensity change.,Region Specific Map,Non_Structure_Specific
Luminal textural correlation,Lumen,Texture,Correlation,Measures the joint probability occurrence of the specified pixel pairs.  Higher in regions with a high number of repeated values.,Region Specific Map,Non_Structure_Specific
Luminal textural energy,Lumen,Texture,Energy,Provides the sum of squared elements in the GLCM.  Also known as uniformity or the angular second moment.  High in areas of high intensity,Region Specific Map,Non_Structure_Specific
Luminal textural homogeneity,Lumen,Texture,Homogeneity,Measures the closeness of the distribution of elements in the GLCM to the GLCM diagonal.  Higher in regions of generally uniform intensity.,Region Specific Map,Non_Structure_Specific
Average PAS+ object solidity,PAS+,Morphological,Average Solidity,Average ratio between PAS+ object area and luminal object convex area.,Similarity Map,Non_Structure_Specific
Average lumina region contained in PAS+ object boundaries,PAS+_Lumen,Containment,Average Lumen in PAS+,Average number of luminal pixels surrounded by PAS+ objects.,Object Specific Map,Non_Structure_Specific
Average nuclear region contained in PAS+ object boundaries,Lumen_Nuclei,Containment,Average Nuclei in PAS+,Average number of nuclear pixels surrounded by PAS+ objects.,Object Specific Map,Non_Structure_Specific
Sum total PAS+ objects' areas,PAS+,Morphological,Sum Areas,Sum of all object areas in PAS+ compartment,Object Specific Map,Non_Structure_Specific
Mean of PAS+ objects' areas,PAS+,Morphological,Mean Areas,Mean area of PAS+ objects,Similarity Map,Non_Structure_Specific
Median of PAS+ objects' areas,PAS+,Morphological,Median Areas,Median area of PAS+ objects,Similarity Map,Non_Structure_Specific
PAS+ textural contrast,PAS+,Texture,Contrast,Measures the local variations in the GLCM.  Higher in regions of sharp intensity change.,Region Specific Map,Non_Structure_Specific
PAS+ textural correlation,PAS+,Texture,Correlation,Measures the joint probability occurrence of the specified pixel pairs.  Higher in regions with a high number of repeated values.,Region Specific Map,Non_Structure_Specific
PAS+ textural energy,PAS+,Texture,Energy,Provides the sum of squared elements in the GLCM.  Also known as uniformity or the angular second moment.  High in areas of high intensity,Region Specific Map,Non_Structure_Specific
